"","Site_Visnum_Layer","UID","SITE_ID","VISNUM","Col_Date","Col_loc","Latitude","Longitude","REGION","SUBREGIONS","STATE","SAMPYEAR","CHLA..ug.L.","TN..mgN.L.","DIN..mgN.L.","TP..mgP.L.","DIP..mgP.L.","DIN.DIP..Molar.","TN.TP..Molar.","SECCHI_MEAN..m.","TSS..mg.L.","TS_Chla","TS_N","TS_P","TS_SD","TS_Chla_Q","predict_TSI","predict_Cat"
"13","NCCA10-1018_1_SURFACE",9105,"NCCA10-1018",1,"7/1/10","SURFACE",43.7347,-69.9574,"Northeast_A","NE1_North GOM","ME",2010,1.14,0.174,0.015,0.016,0.006,5.5,24.3,4.5,NA,"Oligo","Meso","Meso","Eu","Oligo",-135.792832418526,"Oligo"
"14","NCCA10-1019_1_SURFACE",9106,"NCCA10-1019",1,"6/28/10","SURFACE",43.8486,-70.0157,"Northeast_A","NE1_North GOM","ME",2010,4.2,0.247,0.017,0.032,0.026,1.4,17,1.8,NA,"Oligo","Meso","Meso","Meso","Meso",-62.6844631836044,"Meso"
"15","NCCA10-1020_1_SURFACE",9107,"NCCA10-1020",1,"8/30/10","SURFACE",43.6988,-70.0768,"Northeast_A","NE1_North GOM","ME",2010,2.66,0.189,0.016,0.036,0.023,1.5,11.8,5,NA,"Oligo","Meso","Meso","Eu","Meso",-110.789759500368,"Oligo"
"16","NCCA10-1021_1_SURFACE",9108,"NCCA10-1021",1,"8/29/10","SURFACE",43.7121,-70.164,"Northeast_A","NE1_North GOM","ME",2010,3.91,0.215,0.011,0.049,0.031,0.8,9.7,2.8,NA,"Oligo","Meso","Meso","Meso","Meso",-53.7038047133097,"Meso"
"17","NCCA10-1022_1_SURFACE",9109,"NCCA10-1022",1,"8/30/10","SURFACE",43.6506,-70.0929,"Northeast_A","NE1_North GOM","ME",2010,2.21,0.19,0.016,0.032,0.02,1.8,13.3,5.1,NA,"Oligo","Meso","Meso","Eu","Meso",-115.930901668101,"Oligo"
"18","NCCA10-1023_1_SURFACE",9110,"NCCA10-1023",1,"7/9/10","SURFACE",42.3732,-71.0504,"Northeast_A","NE2_South GOM","MA",2010,5.2,0.313,0.098,0.036,0.022,9.8,19,4.3,NA,"Meso","Meso","Meso","Eu","Eu",-78.9089876309792,"Meso"
"19","NCCA10-1024_1_SURFACE",9112,"NCCA10-1024",1,"7/8/10","SURFACE",42.7359,-70.8105,"Northeast_A","NE2_South GOM","MA",2010,3.18,0.23,0.019,0.035,0.021,2,14.4,2.5,NA,"Oligo","Meso","Meso","Meso","Meso",-41.9201155574624,"Meso"
"20","NCCA10-1025_1_SURFACE",9114,"NCCA10-1025",1,"7/15/10","SURFACE",41.9917,-70.6585,"Northeast_A","NE2_South GOM","MA",2010,4.95,0.249,0.011,0.023,0.009,2.7,24.2,3.7,NA,"Oligo","Meso","Meso","Eu","Eu",-43.9184320492286,"Meso"
"21","NCCA10-1026_1_SURFACE",9115,"NCCA10-1026",1,"7/8/10","SURFACE",42.5972,-70.6678,"Northeast_A","NE2_South GOM","MA",2010,1.26,0.155,0.018,0.019,0.009,4.4,18.3,2.9,NA,"Oligo","Meso","Meso","Meso","Oligo",-101.531897050962,"Oligo"
"22","NCCA10-1027_1_SURFACE",9116,"NCCA10-1027",1,"8/19/10","SURFACE",41.9502,-70.2553,"Northeast_A","NE2_South GOM","MA",2010,0.87,0.206,0.018,0.028,0.007,5.7,16.5,7.1,NA,"Oligo","Meso","Meso","Eu","Oligo",-77.2492652430643,"Meso"
"23","NCCA10-1028_1_SURFACE",9117,"NCCA10-1028",1,"7/8/10","SURFACE",42.5204,-70.8321,"Northeast_A","NE2_South GOM","MA",2010,3.31,0.194,0.018,0.02,0.007,5.7,21.7,2.8,NA,"Oligo","Meso","Meso","Meso","Meso",-71.1870769429358,"Meso"
"24","NCCA10-1030_1_SURFACE",9119,"NCCA10-1030",1,"7/9/10","SURFACE",42.4484,-70.9519,"Northeast_A","NE2_South GOM","MA",2010,5.2,0.243,0.02,0.045,0.019,2.3,11.9,1.4,NA,"Meso","Meso","Meso","Meso","Eu",3.64916119202907,"Meso"
"25","NCCA10-1031_1_SURFACE",9120,"NCCA10-1031",1,"7/16/10","SURFACE",42.2577,-70.9594,"Northeast_A","NE2_South GOM","MA",2010,4.07,0.344,0.028,0.063,0.025,2.5,12.1,0.8,NA,"Oligo","Meso","Meso","Oligo","Meso",62.2678649775568,"Meso"
"26","NCCA10-1032_1_SURFACE",9121,"NCCA10-1032",1,"8/19/10","SURFACE",41.8587,-70.4989,"Northeast_A","NE2_South GOM","MA",2010,1.91,0.256,0.019,0.032,0.012,3.5,17.6,4.9,NA,"Oligo","Meso","Meso","Eu","Meso",-50.4317254985964,"Meso"
"27","NCCA10-1033_1_SURFACE",9122,"NCCA10-1033",1,"7/16/10","SURFACE",42.2845,-70.9685,"Northeast_A","NE2_South GOM","MA",2010,3.93,0.236,0.009,0.035,0.017,1.2,15.1,1.3,NA,"Oligo","Meso","Meso","Meso","Meso",10.0639359373347,"Meso"
"28","NCCA10-1034_1_SURFACE",9123,"NCCA10-1034",1,"8/19/10","SURFACE",41.9562,-70.1157,"Northeast_A","NE2_South GOM","MA",2010,1.45,0.23,0.018,0.033,0.009,4.4,15.4,5.2,NA,"Oligo","Meso","Meso","Eu","Oligo",-50.843413553134,"Meso"
"29","NCCA10-1035_1_SURFACE",9124,"NCCA10-1035",1,"8/19/10","SURFACE",41.7425,-70.284,"Northeast_A","NE2_South GOM","MA",2010,2.9,0.236,0.018,0.035,0.012,3.3,14.7,3.4,NA,"Oligo","Meso","Meso","Eu","Meso",-35.7370293648151,"Meso"
"30","NCCA10-1037_1_SURFACE",9127,"NCCA10-1037",1,"7/21/10","SURFACE",43.168,-70.8616,"Northeast_A","NE2_South GOM","NH",2010,11.34,0.557,0.021,0.051,0.025,1.8,24.2,1,NA,"Meso","Meso","Meso","Oligo","Hyper",87.2736339551679,"Eu"
"31","NCCA10-1038_1_SURFACE",9128,"NCCA10-1038",1,"7/8/10","SURFACE",43.0943,-70.8658,"Northeast_A","NE2_South GOM","NH",2010,1.85,0.295,0.006,0.045,0.028,0.5,14.5,1.2,NA,"Oligo","Meso","Meso","Meso","Meso",47.9795951991659,"Meso"
"32","NCCA10-1039_1_SURFACE",9129,"NCCA10-1039",1,"6/24/10","SURFACE",43.0725,-70.863,"Northeast_A","NE2_South GOM","NH",2010,4.77,0.295,0.005,0.05,0.015,0.7,13.1,1.5,NA,"Oligo","Meso","Meso","Meso","Eu",67.687439993005,"Meso"
"33","NCCA10-1042_1_SURFACE",9132,"NCCA10-1042",1,"6/22/10","SURFACE",43.0643,-70.9173,"Northeast_A","NE2_South GOM","NH",2010,21.67,1.055,0.18,0.095,0.02,19.8,24.6,0.9,NA,"Eu","Eu","Meso","Oligo","Hyper",138.322885163477,"Eu"
"34","NCCA10-1043_1_SURFACE",9133,"NCCA10-1043",1,"7/19/10","SURFACE",43.0657,-70.8735,"Northeast_A","NE2_South GOM","NH",2010,5.39,0.951,0.038,0.048,0.018,4.6,43.8,1.5,NA,"Meso","Meso","Meso","Meso","Eu",105.590992568063,"Eu"
"35","NCCA10-1045_1_SURFACE",9135,"NCCA10-1045",1,"7/7/10","SURFACE",43.1173,-70.8567,"Northeast_A","NE2_South GOM","NH",2010,1.58,0.444,0.053,0.031,0.026,4.5,31.7,1.9,NA,"Oligo","Meso","Meso","Meso","Oligo",-17.0723256711255,"Meso"
"36","NCCA10-1049_1_SURFACE",9138,"NCCA10-1049",1,"7/22/10","SURFACE",44.4712,-68.8709,"Northeast_A","NE1_North GOM","ME",2010,4.17,0.268,0.147,0.03,0.017,19,20,2.1,NA,"Oligo","Meso","Meso","Meso","Meso",-112.585645798532,"Oligo"
"37","NCCA10-1051_1_SURFACE",9140,"NCCA10-1051",1,"7/20/10","SURFACE",44.0882,-68.7067,"Northeast_A","NE1_North GOM","ME",2010,6.46,0.211,0.022,0.026,0.021,2.3,17.9,2.5,NA,"Meso","Meso","Meso","Meso","Eu",-104.613099310127,"Oligo"
"38","NCCA10-1052_1_SURFACE",9141,"NCCA10-1052",1,"7/20/10","SURFACE",44.2241,-68.979,"Northeast_A","NE1_North GOM","ME",2010,1.5,0.216,0.021,0.027,0.012,3.9,18,4,NA,"Oligo","Meso","Meso","Eu","Oligo",-102.270355820208,"Oligo"
"39","NCCA10-1053_1_SURFACE",9142,"NCCA10-1053",1,"7/19/10","SURFACE",44.1314,-69.0517,"Northeast_A","NE1_North GOM","ME",2010,1.46,0.205,0.021,0.015,0.006,7.7,29.7,4.5,NA,"Oligo","Meso","Meso","Eu","Oligo",-135.410060025355,"Oligo"
"40","NCCA10-1054_1_SURFACE",9143,"NCCA10-1054",1,"7/21/10","SURFACE",44.4131,-68.9167,"Northeast_A","NE1_North GOM","ME",2010,4.28,0.255,0.022,0.085,0.03,1.6,6.7,2.6,NA,"Oligo","Meso","Meso","Meso","Meso",-14.809513378877,"Meso"
"41","NCCA10-1055_1_SURFACE",9144,"NCCA10-1055",1,"7/19/10","SURFACE",44.0971,-68.7733,"Northeast_A","NE1_North GOM","ME",2010,4.87,0.194,0.022,0.023,0.01,4.8,18.8,2.3,NA,"Oligo","Meso","Meso","Meso","Eu",-98.5312571420784,"Oligo"
"42","NCCA10-1056_1_SURFACE",9145,"NCCA10-1056",1,"7/22/10","SURFACE",44.1138,-68.6809,"Northeast_A","NE1_North GOM","ME",2010,3.15,0.234,0.121,0.025,0.01,26.6,20.5,3.7,NA,"Oligo","Meso","Meso","Eu","Meso",-139.816915853904,"Oligo"
"43","NCCA10-1057_1_SURFACE",9146,"NCCA10-1057",1,"7/20/10","SURFACE",44.0585,-68.6629,"Northeast_A","NE1_North GOM","ME",2010,4.49,0.215,0.025,0.023,0.012,4.6,20.5,2.6,NA,"Oligo","Meso","Meso","Meso","Meso",-102.447775994035,"Oligo"
"44","NCCA10-1059_1_SURFACE",9149,"NCCA10-1059",1,"7/15/10","SURFACE",43.3267,-70.5372,"Northeast_A","NE1_North GOM","ME",2010,1.84,0.273,0.016,0.025,0.009,3.9,23.7,2.5,NA,"Oligo","Meso","Meso","Meso","Meso",-55.6983865229598,"Meso"
"45","NCCA10-1060_1_SURFACE",9151,"NCCA10-1060",1,"8/24/10","SURFACE",44.8985,-66.9722,"Northeast_A","NE1_North GOM","ME",2010,1.88,0.23,0.068,0.032,0.03,5,15.7,6,NA,"Oligo","Meso","Meso","Eu","Meso",-154.47481541271,"Oligo"
"46","NCCA10-1061_1_SURFACE",9152,"NCCA10-1061",1,"8/3/10","SURFACE",44.4185,-68.4393,"Northeast_A","NE1_North GOM","ME",2010,1.31,0.189,0.023,0.027,0.012,4.2,15.2,5.1,NA,"Oligo","Meso","Meso","Eu","Oligo",-125.153077884363,"Oligo"
"47","NCCA10-1062_1_SURFACE",9153,"NCCA10-1062",1,"8/18/10","SURFACE",41.5203,-70.263,"Northeast_A","NE3_CT RI MA Coast","MA",2010,3.68,0.248,0.018,0.033,0.018,2.2,16.5,2.6,NA,"Oligo","Meso","Meso","Meso","Meso",-69.877377617923,"Meso"
"48","NCCA10-1063_1_SURFACE",9154,"NCCA10-1063",1,"7/29/10","SURFACE",43.9298,-69.4497,"Northeast_A","NE1_North GOM","ME",2010,3.64,0.248,0.017,0.033,0.018,2.1,16.8,3.3,NA,"Oligo","Meso","Meso","Eu","Meso",-73.7005274655094,"Meso"
"49","NCCA10-1064_1_SURFACE",9155,"NCCA10-1064",1,"8/11/10","SURFACE",44.6159,-67.3437,"Northeast_A","NE1_North GOM","ME",2010,1.04,0.266,0.092,0.029,0.025,8.1,20.3,6.4,NA,"Oligo","Meso","Meso","Eu","Oligo",-154.98746031045,"Oligo"
"50","NCCA10-1065_1_SURFACE",9156,"NCCA10-1065",1,"7/23/10","SURFACE",44.2511,-68.5016,"Northeast_A","NE1_North GOM","ME",2010,1.36,0.254,0.123,0.022,0.009,30.1,25.5,4.2,NA,"Oligo","Meso","Meso","Eu","Oligo",-144.509394757741,"Oligo"
"51","NCCA10-1066_1_SURFACE",9157,"NCCA10-1066",1,"8/17/10","SURFACE",41.3758,-70.4017,"Northeast_A","NE3_CT RI MA Coast","MA",2010,4.81,0.42,0.022,0.038,0.016,3,24.3,3.2,NA,"Oligo","Meso","Meso","Eu","Eu",-25.3762277312736,"Meso"
"52","NCCA10-1067_1_SURFACE",9158,"NCCA10-1067",1,"7/29/10","SURFACE",43.8398,-69.4961,"Northeast_A","NE1_North GOM","ME",2010,21.05,0.183,0.018,0.021,0.015,2.6,19,5.4,NA,"Eu","Meso","Meso","Eu","Hyper",-147.069739157014,"Oligo"
"53","NCCA10-1068_1_SURFACE",9159,"NCCA10-1068",1,"8/4/10","SURFACE",44.4983,-67.7463,"Northeast_A","NE1_North GOM","ME",2010,4.11,0.259,0.025,0.031,0.014,3.9,18.3,2.4,NA,"Oligo","Meso","Meso","Meso","Meso",-66.3243615923111,"Meso"
"54","NCCA10-1069_1_SURFACE",9160,"NCCA10-1069",1,"8/2/10","SURFACE",44.2657,-68.6533,"Northeast_A","NE1_North GOM","ME",2010,0.97,0.222,0.022,0.024,0.012,4,20.1,4.6,NA,"Oligo","Meso","Meso","Eu","Oligo",-114.829745859289,"Oligo"
"55","NCCA10-1071_1_SURFACE",9162,"NCCA10-1071",1,"9/1/10","SURFACE",43.7361,-69.7302,"Northeast_A","NE1_North GOM","ME",2010,4.28,0.209,0.008,0.034,0.019,0.9,13.5,3.1,NA,"Oligo","Meso","Meso","Eu","Meso",-65.1086838110497,"Meso"
"56","NCCA10-1072_1_SURFACE",9163,"NCCA10-1072",1,"8/4/10","SURFACE",44.4967,-67.8449,"Northeast_A","NE1_North GOM","ME",2010,4.93,0.271,0.035,0.037,0.021,3.7,16.2,1.8,NA,"Oligo","Meso","Meso","Meso","Eu",-58.2320247476384,"Meso"
"57","NCCA10-1073_1_SURFACE",9164,"NCCA10-1073",1,"8/17/10","SURFACE",41.3732,-70.0368,"Northeast_A","NE3_CT RI MA Coast","MA",2010,4.28,0.258,0.021,0.048,0.017,2.7,11.9,2.2,NA,"Oligo","Meso","Meso","Meso","Meso",-36.2147902115575,"Meso"
"58","NCCA10-1075_1_SURFACE",9166,"NCCA10-1075",1,"8/18/10","SURFACE",41.5734,-70.1502,"Northeast_A","NE3_CT RI MA Coast","MA",2010,3.25,0.248,0.017,0.064,0.021,1.8,8.6,2.3,NA,"Oligo","Meso","Meso","Meso","Meso",-20.5236121520227,"Meso"
"59","NCCA10-1077_1_SURFACE",9168,"NCCA10-1077",1,"8/17/10","SURFACE",41.3869,-70.2971,"Northeast_A","NE3_CT RI MA Coast","MA",2010,4.89,0.226,0.02,0.043,0.015,2.9,11.7,1.6,NA,"Oligo","Meso","Meso","Meso","Eu",-38.7913841604738,"Meso"
"60","NCCA10-1078_1_SURFACE",9169,"NCCA10-1078",1,"7/28/10","SURFACE",43.9202,-69.627,"Northeast_A","NE1_North GOM","ME",2010,2.1,0.341,0.081,0.045,0.027,6.6,16.9,1.7,NA,"Oligo","Meso","Meso","Meso","Meso",-51.2827880382022,"Meso"
"61","NCCA10-1079_1_SURFACE",9170,"NCCA10-1079",1,"8/18/10","SURFACE",41.6298,-70.1469,"Northeast_A","NE3_CT RI MA Coast","MA",2010,2.09,0.243,0.018,0.042,0.019,2.1,12.6,3.2,NA,"Oligo","Meso","Meso","Eu","Meso",-63.6447262578017,"Meso"
"62","NCCA10-1081_1_SURFACE",9171,"NCCA10-1081",1,"8/11/10","SURFACE",44.6116,-67.3139,"Northeast_A","NE1_North GOM","ME",2010,1.3,0.27,0.075,0.027,0.024,6.9,21.7,4.5,NA,"Oligo","Meso","Meso","Eu","Oligo",-139.079788393769,"Oligo"
"63","NCCA10-1082_1_SURFACE",9172,"NCCA10-1082",1,"8/3/10","SURFACE",44.3199,-68.4331,"Northeast_A","NE1_North GOM","ME",2010,2.69,0.251,0.023,0.035,0.014,3.6,15.7,3.4,NA,"Oligo","Meso","Meso","Eu","Meso",-71.2720537422712,"Meso"
"64","NCCA10-1083_1_SURFACE",9173,"NCCA10-1083",1,"8/10/10","SURFACE",44.4771,-67.6211,"Northeast_A","NE1_North GOM","ME",2010,3.78,0.294,0.038,0.028,0.025,3.3,23.6,4.4,NA,"Oligo","Meso","Meso","Eu","Meso",-111.447798419886,"Oligo"
"65","NCCA10-1084_1_SURFACE",9174,"NCCA10-1084",1,"7/22/10","SURFACE",44.1366,-68.5146,"Northeast_A","NE1_North GOM","ME",2010,3.39,0.269,0.152,0.026,0.011,30.4,22.6,3,NA,"Oligo","Meso","Meso","Meso","Meso",-125.76723313763,"Oligo"
"66","NCCA10-1085_1_SURFACE",9175,"NCCA10-1085",1,"8/10/10","SURFACE",44.4635,-67.6518,"Northeast_A","NE1_North GOM","ME",2010,3.72,0.231,0.029,0.024,0.021,3,21.6,4,NA,"Oligo","Meso","Meso","Eu","Meso",-127.675716537382,"Oligo"
"67","NCCA10-1086_1_SURFACE",9176,"NCCA10-1086",1,"7/14/10","SURFACE",43.9799,-69.1122,"Northeast_A","NE1_North GOM","ME",2010,4.6,0.203,0.011,0.025,0.014,1.7,17.7,3.1,NA,"Oligo","Meso","Meso","Eu","Eu",-90.1596164597918,"Oligo"
"68","NCCA10-1087_1_SURFACE",9177,"NCCA10-1087",1,"8/23/10","SURFACE",44.463,-68.2856,"Northeast_A","NE1_North GOM","ME",2010,3.38,0.255,0.046,0.053,0.038,2.7,10.6,2,NA,"Oligo","Meso","Meso","Meso","Meso",-64.0460854265919,"Meso"
"69","NCCA10-1107_1_SURFACE",9178,"NCCA10-1107",1,"6/29/10","SURFACE",32.7622,-117.2404,"West","West1_South CA","CA",2010,3.69,0.24,0.03,0.039,0.024,2.8,13.7,3.6,NA,"Oligo","Meso","Meso","Eu","Meso",63.5901923252197,"Meso"
"70","NCCA10-1108_1_SURFACE",9180,"NCCA10-1108",1,"6/29/10","SURFACE",32.6624,-117.1271,"West","West1_South CA","CA",2010,2.19,0.229,0.028,0.042,0.033,1.9,12.1,3.4,NA,"Oligo","Meso","Meso","Eu","Meso",60.8115664739569,"Meso"
"71","NCCA10-1109_1_SURFACE",9182,"NCCA10-1109",1,"7/14/10","SURFACE",33.7338,-118.1517,"West","West1_South CA","CA",2010,2.05,0.255,0.012,0.029,0.01,2.6,19.5,3.2,NA,"Oligo","Meso","Meso","Eu","Meso",98.5273595297303,"Eu"
"72","NCCA10-1111_1_SURFACE",9183,"NCCA10-1111",1,"7/1/10","SURFACE",32.7736,-117.2147,"West","West1_South CA","CA",2010,3.34,0.408,0.014,0.061,0.028,1.1,14.7,1.6,NA,"Oligo","Meso","Meso","Meso","Meso",187.23160554154,"Eu"
"73","NCCA10-1113_1_SURFACE",9185,"NCCA10-1113",1,"7/14/10","SURFACE",33.738,-118.1794,"West","West1_South CA","CA",2010,2.65,0.281,0.012,0.035,0.014,1.9,17.9,2.4,NA,"Oligo","Meso","Meso","Meso","Meso",122.461174666655,"Eu"
"74","NCCA10-1115_1_SURFACE",9187,"NCCA10-1115",1,"6/29/10","SURFACE",32.6644,-117.1388,"West","West1_South CA","CA",2010,2.11,0.213,0.028,0.044,0.034,1.8,10.7,2.7,NA,"Oligo","Meso","Meso","Meso","Meso",65.9206184091199,"Meso"
"75","NCCA10-1116_1_SURFACE",9188,"NCCA10-1116",1,"6/30/10","SURFACE",32.6243,-117.1177,"West","West1_South CA","CA",2010,3.58,0.258,0.009,0.047,0.029,0.7,12.3,1.8,NA,"Oligo","Meso","Meso","Meso","Meso",136.237810866705,"Eu"
"76","NCCA10-1117_1_SURFACE",9189,"NCCA10-1117",1,"7/15/10","SURFACE",33.7266,-118.2115,"West","West1_South CA","CA",2010,3.58,0.241,0.011,0.032,0.011,2.2,16.7,3.1,NA,"Oligo","Meso","Meso","Eu","Meso",101.836917043717,"Eu"
"77","NCCA10-1118_1_SURFACE",9190,"NCCA10-1118",1,"7/27/10","SURFACE",35.1647,-120.7505,"West","West2_Mid CA","CA",2010,11.2,0.483,0.07,0.053,0.018,8.6,20.2,2.4,NA,"Meso","Meso","Meso","Meso","Hyper",-92.9572612849207,"Oligo"
"78","NCCA10-1119_1_SURFACE",9191,"NCCA10-1119",1,"7/1/10","SURFACE",32.7142,-117.2353,"West","West1_South CA","CA",2010,2.45,0.23,0.02,0.037,0.026,1.7,13.6,2,NA,"Oligo","Meso","Meso","Meso","Meso",87.1197505337301,"Eu"
"79","NCCA10-1120_1_SURFACE",9192,"NCCA10-1120",1,"7/13/10","SURFACE",33.4583,-117.7014,"West","West1_South CA","CA",2010,2.21,0.24,0.105,0.035,0.026,8.9,15.1,3.1,NA,"Oligo","Meso","Meso","Eu","Meso",26.3081905406761,"Meso"
"80","NCCA10-1123_1_SURFACE",9193,"NCCA10-1123",1,"7/1/10","SURFACE",32.7837,-117.2213,"West","West1_South CA","CA",2010,3.82,0.336,0.009,0.048,0.03,0.7,15.5,1.8,NA,"Oligo","Meso","Meso","Meso","Meso",159.255607128697,"Eu"
"81","NCCA10-1127_1_SURFACE",9194,"NCCA10-1127",1,"7/1/10","SURFACE",32.7225,-117.2044,"West","West1_South CA","CA",2010,6.13,0.239,0.01,0.044,0.028,0.8,11.9,2.1,NA,"Meso","Meso","Meso","Meso","Eu",117.349645147947,"Eu"
"82","NCCA10-1128_1_SURFACE",9195,"NCCA10-1128",1,"7/15/10","SURFACE",33.7355,-118.2683,"West","West1_South CA","CA",2010,3.68,0.304,0.01,0.038,0.007,3.1,17.5,2.3,NA,"Oligo","Meso","Meso","Meso","Meso",158.952833754067,"Eu"
"83","NCCA10-1131_1_SURFACE",9197,"NCCA10-1131",1,"7/15/10","SURFACE",33.7703,-118.2216,"West","West1_South CA","CA",2010,4.4,0.251,0.01,0.037,0.016,1.4,15.2,3.1,NA,"Oligo","Meso","Meso","Eu","Meso",108.65213429352,"Eu"
"84","NCCA10-1133_1_SURFACE",9199,"NCCA10-1133",1,"6/9/10","SURFACE",34.751,-77.1212,"Southeast","SE1_Carolina Capes","NC",2010,9.79,0.633,0.03,0.091,0.043,1.5,15.4,0.8,NA,"Meso","Meso","Meso","Oligo","Eu",142.767922799244,"Eu"
"85","NCCA10-1134_1_SURFACE",9201,"NCCA10-1134",1,"6/2/10","SURFACE",35.4106,-76.3957,"Southeast","SE1_Carolina Capes","NC",2010,8.96,0.541,0.015,0.043,0.007,4.7,27.7,0.9,NA,"Meso","Meso","Meso","Oligo","Eu",136.00119724447,"Eu"
"86","NCCA10-1135_1_SURFACE",9203,"NCCA10-1135",1,"7/26/10","SURFACE",36.009,-75.8846,"Southeast","SE1_Carolina Capes","NC",2010,42.1,0.936,0.001,0.043,0.004,NA,48.4,0.7,NA,"Eu","Meso","Meso","Oligo","Hyper",277.839194495491,"Eu"
"87","NCCA10-1136_1_SURFACE",9204,"NCCA10-1136",1,"7/20/10","SURFACE",35.9538,-75.6608,"Southeast","SE1_Carolina Capes","NC",2010,16.34,0.74,0.005,0.033,0.007,1.6,50.3,0.8,NA,"Meso","Meso","Meso","Oligo","Hyper",177.260842292957,"Eu"
"88","NCCA10-1137_1_SURFACE",9205,"NCCA10-1137",1,"7/14/10","SURFACE",34.9417,-76.558,"Southeast","SE1_Carolina Capes","NC",2010,14.98,0.628,0.001,0.152,0.094,NA,9.2,1.1,NA,"Meso","Meso","Eu","Meso","Hyper",236.918145242902,"Eu"
